REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE
31-DEC-2024,DEUTSCHE BANK AG\,2540557
31-DEC-2024,"DENVER WEALTH MANAGEMENT, INC.",375169
31-DEC-2024,DENALI ADVISORS LLC,12565077
31-DEC-2024,DELTA FINANCIAL ADVISORS LLC,953062
31-DEC-2024,DELTA ASSET MANAGEMENT LLC/TN,155478
31-DEC-2024,"DEFINED WEALTH MANAGEMENT, LLC",225747
31-DEC-2024,"DEFINE FINANCIAL, LLC",286491
31-DEC-2024,DEARBORN PARTNERS LLC,871083
31-DEC-2024,"DDD Partners, LLC",2821226
31-DEC-2024,"DB Fitzpatrick & Co, Inc",2019
31-DEC-2024,"DAYMARK WEALTH PARTNERS, LLC",24068864
31-DEC-2024,DAVIS R M INC,2348330
31-DEC-2024,DAVIDSON TRUST CO,920755
31-DEC-2024,DAVIDSON INVESTMENT ADVISORS,677644
31-DEC-2024,DAVENPORT & Co LLC,16403812
31-DEC-2024,"D.B. Root & Company, LLC",1669878
31-DEC-2024,D.A. DAVIDSON & CO.,33931443
31-DEC-2024,"D'Orazio & Associates, Inc.",1892395
31-DEC-2024,Czech National Bank,244486351
31-DEC-2024,"Cyrus J. Lawrence, LLC",44
31-DEC-2024,Cyr Financial Inc.,593241
31-DEC-2024,"Cypress Wealth Services, LLC",4560161
31-DEC-2024,"DHJJ Financial Advisors, Ltd.",697432
31-DEC-2024,DIMENSIONAL FUND ADVISORS LP,1759300270
31-DEC-2024,Dakota Wealth Management,7252564
31-DEC-2024,"DIVERSIFY WEALTH MANAGEMENT, LLC",9848690
31-DEC-2024,Dakota Community Bank & Trust NA,249977
31-DEC-2024,Daiwa Securities Group Inc.,194451
31-DEC-2024,"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",3733905
31-DEC-2024,DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.,1978816
31-DEC-2024,"DURANTE & WATERS, LLC",1438074
31-DEC-2024,DUPONT CAPITAL MANAGEMENT CORP,13662311
31-DEC-2024,DUNCKER STREETT & CO INC,732566
31-DEC-2024,DUMONT & BLAKE INVESTMENT ADVISORS LLC,212420
31-DEC-2024,"DUDLEY CAPITAL MANAGEMENT, LLC",3410429
31-DEC-2024,"DT Investment Partners, LLC",607780
31-DEC-2024,DROMS STRAUSS ADVISORS INC /MO/ /ADV,6241347
31-DEC-2024,"DRIVE WEALTH MANAGEMENT, LLC",3727816
31-DEC-2024,DORVAL Corp,289553
31-DEC-2024,DORCHESTER WEALTH MANAGEMENT Co,421205
31-DEC-2024,"DONALDSON CAPITAL MANAGEMENT, LLC",4073130
31-DEC-2024,"DOLIVER ADVISORS, LP",623933
31-DEC-2024,"DOHJ, LLC",1440799
31-DEC-2024,DOHENY ASSET MANAGEMENT /CA,890
31-DEC-2024,DOCK STREET ASSET MANAGEMENT INC,291572
31-DEC-2024,"DLK Investment Management, LLC",7482348
31-DEC-2024,"DKM Wealth Management, Inc.",502849
31-DEC-2024,DJE Kapital AG,2776022
31-DEC-2024,"DIVIDEND ASSETS CAPITAL, LLC",858160
31-DEC-2024,EFG Asset Management (Americas) Corp.,5957448
31-DEC-2024,"ELEMENT POINTE ADVISORS, LLC",972851
31-DEC-2024,"ELEVATION WEALTH PARTNERS, LLC",3444756
31-DEC-2024,Essex LLC,441337
31-DEC-2024,Erste Asset Management GmbH,0
31-DEC-2024,"Equita Financial Network, Inc.",344133
31-DEC-2024,"Envestnet Portfolio Solutions, Inc.",42021675
31-DEC-2024,"EntryPoint Capital, LLC",293188
31-DEC-2024,Enterprise Bank & Trust Co,502377
31-DEC-2024,"Ensign Peak Advisors, Inc",913273660
31-DEC-2024,Engineers Gate Manager LP,4119572
31-DEC-2024,Encompass More Asset Management,4285954
31-DEC-2024,Enclave Advisors LLC,383524
31-DEC-2024,EnRich Financial Partners LLC,68653
31-DEC-2024,"Empowered Funds, LLC",2175486
31-DEC-2024,"Empower Advisory Group, LLC",340296268
31-DEC-2024,Employees Retirement System of Texas,755982
31-DEC-2024,"Empirical Financial Services, LLC d.b.a. Empirical Wealth Management",25948373
31-DEC-2024,"Empirical Finance, LLC",32585446
31-DEC-2024,"Empirical Asset Management, LLC",1358763
31-DEC-2024,"Emerald Advisors, LLC",369514
31-DEC-2024,Embree Financial Group,343668
31-DEC-2024,"Elyxium Wealth, LLC",2920571
31-DEC-2024,"Elwood & Goetz Wealth Advisory Group, LLC",645336
31-DEC-2024,"Elser Financial Planning, Inc",435743
31-DEC-2024,Elo Mutual Pension Insurance Co,107041830
31-DEC-2024,"Elmwood Wealth Management, Inc.",287938
31-DEC-2024,"Essential Planning, LLC.",444810
31-DEC-2024,Essex Savings Bank,43208
31-DEC-2024,ELEVATUS WELATH MANAGEMENT,1003139
31-DEC-2024,Estabrook Capital Management,66634
31-DEC-2024,FCA CORP /TX,485416
31-DEC-2024,"FAS Wealth Partners, Inc.",1663821
31-DEC-2024,FARMERS TRUST CO,455128
31-DEC-2024,FARMERS & MERCHANTS TRUST Co OF LONG BEACH,1081079
31-DEC-2024,FARMERS & MERCHANTS INVESTMENTS INC,1288250
31-DEC-2024,"FAIRVIEW CAPITAL INVESTMENT MANAGEMENT, LLC",425647
31-DEC-2024,"FAGAN ASSOCIATES, INC.",4021439
31-DEC-2024,FACTORY MUTUAL INSURANCE CO,108794496
31-DEC-2024,F/M Investments LLC,18513641
31-DEC-2024,"ExodusPoint Capital Management, LP",31726
31-DEC-2024,"Executive Wealth Management, LLC",1252308
31-DEC-2024,Ewing Morris & Co. Investment Partners Ltd.,787488
31-DEC-2024,"Evolution Wealth Advisors, LLC",2856318
31-DEC-2024,"Evolution Advisers, Inc.",101
31-DEC-2024,"Everhart Financial Group, Inc.",6379057
31-DEC-2024,"Evergreen Wealth Solutions, LLC",338822
31-DEC-2024,Evergreen Private Wealth LLC,12115
31-DEC-2024,Everest Management Corp.,555684
31-DEC-2024,"Evercore Wealth Management, LLC",9635219
31-DEC-2024,"EverSource Wealth Advisors, LLC",29710874
31-DEC-2024,"Evanson Asset Management, LLC",3206395
31-DEC-2024,Eukles Asset Management,7673
31-DEC-2024,Ethic Inc.,58585785
31-DEC-2024,"Elm3 Financial Group, LLC",260073
31-DEC-2024,"Ellis Investment Partners, LLC",343264
31-DEC-2024,"Ellevest, Inc.",1803549
31-DEC-2024,Ellenbecker Investment Group,996273
31-DEC-2024,EVERGREEN CAPITAL MANAGEMENT LLC,7685199
31-DEC-2024,EVERETT HARRIS & CO /CA/,1036657
31-DEC-2024,EVERENCE CAPITAL MANAGEMENT INC,26165
31-DEC-2024,EULAV Asset Management,20397958
31-DEC-2024,EUBEL BRADY & SUTTMAN ASSET MANAGEMENT INC,291
31-DEC-2024,ESSEX INVESTMENT MANAGEMENT CO LLC,270573
31-DEC-2024,"ESL Trust Services, LLC",2019
31-DEC-2024,"ERn Financial, LLC",5708319
31-DEC-2024,"ERTS Wealth Advisors, LLC",262496
31-DEC-2024,"EQUITEC PROPRIETARY MARKETS, LLC",0
31-DEC-2024,EQUITABLE TRUST CO,2958936
31-DEC-2024,"EQ WEALTH ADVISORS, LLC",342860
31-DEC-2024,"EPIQ PARTNERS, LLC",703085
31-DEC-2024,"EPIQ Capital Group, LLC",1648879
31-DEC-2024,EPG Wealth Management LLC,1155790
31-DEC-2024,"EP Wealth Advisors, LLC",28558850
31-DEC-2024,ENZI WEALTH,737472
31-DEC-2024,ENVESTNET ASSET MANAGEMENT INC,488914430
31-DEC-2024,"ENCOMPASS WEALTH ADVISORS, LLC",582337
31-DEC-2024,EMORY UNIVERSITY,236246
31-DEC-2024,EMERALD MUTUAL FUND ADVISERS TRUST,241092
31-DEC-2024,"EMERALD ADVISERS, LLC",812930
31-DEC-2024,EMC Capital Management,404
31-DEC-2024,EVERMAY WEALTH MANAGEMENT LLC,628779
31-DEC-2024,EVERPAR ADVISORS LLC,3581657
31-DEC-2024,"EVOKE WEALTH, LLC",6198136
31-DEC-2024,Econ Financial Services Corp,1530554
31-DEC-2024,"Elite Wealth Management, Inc.",1458670
31-DEC-2024,Elite Life Management LLC,343264
31-DEC-2024,Elios Financial Group Inc.,653413
31-DEC-2024,"Elevated Capital Advisors, LLC",3243048
31-DEC-2024,"Eldridge Investment Advisors, Inc.",1264
31-DEC-2024,"Edgestream Partners, L.P.",3983882
31-DEC-2024,EdgeRock Capital LLC,2961359
31-DEC-2024,Edge Wealth Management LLC,417167
31-DEC-2024,Edge Financial Advisors LLC,809295
31-DEC-2024,"Edge Capital Group, LLC",1490573
31-DEC-2024,Echo45 Advisors LLC,508838
31-DEC-2024,"EWA, LLC",1666999
31-DEC-2024,"Echo Wealth Management, LLC",1638783
31-DEC-2024,"Eaton Financial Holdings Company, LLC",612786
31-DEC-2024,"East Coast Asset Management, LLC.",15330574
31-DEC-2024,Eagle Strategies LLC,2708959
31-DEC-2024,Eagle Ridge Investment Management,1095214
31-DEC-2024,Eagle Bluffs Wealth Management LLC,3664040
31-DEC-2024,Eagle Bay Advisors LLC,11499659
31-DEC-2024,"EXENCIAL WEALTH ADVISORS, LLC",8071894
31-DEC-2024,"EXCHANGE TRADED CONCEPTS, LLC",7167352
31-DEC-2024,EWG Elevate Inc.,1481689
31-DEC-2024,GSA CAPITAL PARTNERS LLP,6415
31-DEC-2024,GSG Advisors LLC,749527
31-DEC-2024,"GUARDIAN WEALTH ADVISORS, LLC / NC",12380119
31-DEC-2024,"Interchange Capital Partners, LLC",4930075
31-DEC-2024,"Intellectus Partners, LLC",28807238
31-DEC-2024,Integrity Wealth Solutions LLC,3372062
31-DEC-2024,Integrity Financial Corp /WA,2271196
31-DEC-2024,"Integris Wealth Management, LLC",1198598
31-DEC-2024,"Integrated Investment Consultants, LLC",121152
31-DEC-2024,Integrated Advisors Network LLC,20113768
31-DEC-2024,"Institute for Wealth Management, LLC.",10969802
31-DEC-2024,"Inspire Advisors, LLC",805819
31-DEC-2024,"Insight Wealth Strategies, LLC",1098445
31-DEC-2024,"Insight Wealth Partners, LLC",589606
31-DEC-2024,"Insight Advisors, LLC/ PA",3713700
31-DEC-2024,"Innovator Capital Management, LLC",351745
31-DEC-2024,Innova Wealth Partners,414744
31-DEC-2024,"Inman Jager Wealth Management, LLC",458762
31-DEC-2024,Infusive Asset Management Inc.,7687094
31-DEC-2024,"Indie Asset Partners, LLC",711970
31-DEC-2024,Indiana Trust & Investment Management Co,1236962
31-DEC-2024,"Index Fund Advisors, Inc.",512582
31-DEC-2024,Independent Wealth Network Inc.,1365383
31-DEC-2024,"Independent Solutions Wealth Management, LLC",799199
31-DEC-2024,Independent Advisor Alliance,47320194
31-DEC-2024,Independence Bank of Kentucky,942966
31-DEC-2024,InTrack Investment Management Inc,575142
31-DEC-2024,Intellus Advisors LLC,342860
31-DEC-2024,"Intergy Private Wealth, LLC",829891
31-DEC-2024,Impact Capital Partners LLC,2169832
31-DEC-2024,International Private Wealth Advisors LLC,447455
31-DEC-2024,"JACOBS LEVY EQUITY MANAGEMENT, INC",115143265
31-DEC-2024,JACOBS & CO/CA,3500
31-DEC-2024,"JACKSON THORNTON WEALTH MANAGEMENT, LLC",322264
31-DEC-2024,"JACKSON SQUARE CAPITAL, LLC",903794
31-DEC-2024,"J.W. COLE ADVISORS, INC.",12084706
31-DEC-2024,J.Safra Asset Management Corp,5872959
31-DEC-2024,"J. L. Bainbridge & Co., Inc.",879967
31-DEC-2024,J. Goldman & Co LP,6622976
31-DEC-2024,"Iyo Bank, Ltd.",1098
31-DEC-2024,IvyRock Asset Management (HK) Ltd,19701738
31-DEC-2024,"Ironwood Investment Counsel, LLC",3807515
31-DEC-2024,"Ironwood Financial, llc",315399
31-DEC-2024,"Iron Horse Wealth Management, LLC",195862
31-DEC-2024,Iron Gate Global Advisors LLC,785065
31-DEC-2024,"Invst, LLC",1476993
31-DEC-2024,Investors Research Corp,226554
